customer_id,last_purchase_date,frequency,monetary,units_sold,products_purchased,country,recency,r_score,f_score,m_score,rfm_score,rfm_code,segment
17581,2011-12-09 12:21:00,25,11025.24,5915,229,United Kingdom,1,5,5,5,15,555,Champions
13319,2011-12-04 13:34:00,26,10845.550000000001,4724,209,United Kingdom,6,5,5,5,15,555,Champions
16779,2011-12-07 14:54:00,22,10611.720000000001,5301,161,United Kingdom,3,5,5,5,15,555,Champions
17706,2011-12-05 13:34:00,17,10504.49,3899,270,United Kingdom,5,5,5,5,15,555,Champions
15251,2011-11-30 15:02:00,11,10484.99,6171,97,United Kingdom,10,5,5,5,15,555,Champions
14062,2011-11-30 10:04:00,12,10464.85,5593,60,United Kingdom,10,5,5,5,15,555,Champions
14769,2011-12-07 10:24:00,8,10416.98,7239,718,United Kingdom,3,5,5,5,15,555,Champions
15615,2011-11-29 14:42:00,23,10399.74,5508,184,United Kingdom,11,5,5,5,15,555,Champions
13199,2011-12-06 12:30:00,38,9817.12,6176,48,United Kingdom,4,5,5,5,15,555,Champions
13001,2011-12-05 14:51:00,13,9785.970000000001,5490,166,United Kingdom,5,5,5,5,15,555,Champions
15078,2011-12-02 15:41:00,32,9743.11,5105,97,United Kingdom,8,5,5,5,15,555,Champions
13458,2011-12-02 15:29:00,14,9646.57,5508,242,United Kingdom,8,5,5,5,15,555,Champions
16523,2011-12-08 09:06:00,21,9418.470000000001,4265,151,United Kingdom,2,5,5,5,15,555,Champions
14367,2011-12-01 13:19:00,16,9227.82,4426,270,United Kingdom,9,5,5,5,15,555,Champions
14667,2011-11-29 11:30:00,25,9175.04,5319,354,United Kingdom,11,5,5,5,15,555,Champions
18092,2011-12-07 13:14:00,11,9068.26,4252,28,United Kingdom,3,5,5,5,15,555,Champions
13969,2011-12-02 15:11:00,18,9024.17,4528,334,United Kingdom,8,5,5,5,15,555,Champions
13090,2011-12-01 12:39:00,14,8910.82,2263,98,United Kingdom,9,5,5,5,15,555,Champions
16033,2011-12-04 12:44:00,20,8778.82,3529,538,United Kingdom,6,5,5,5,15,555,Champions
17017,2011-12-07 09:32:00,20,8694.26,6673,88,United Kingdom,3,5,5,5,15,555,Champions
17306,2011-11-29 12:14:00,19,8631.31,11491,13,United Kingdom,11,5,5,5,15,555,Champions
17243,2011-12-08 13:26:00,26,8540.05,3320,180,United Kingdom,2,5,5,5,15,555,Champions
14527,2011-12-07 12:19:00,55,8507.13,2088,330,United Kingdom,3,5,5,5,15,555,Champions
12683,2011-12-05 16:31:00,15,8476.57,4987,177,France,5,5,5,5,15,555,Champions
15358,2011-12-05 09:04:00,22,8347.2,7050,292,United Kingdom,5,5,5,5,15,555,Champions
16558,2011-12-09 10:20:00,20,8338.49,5377,264,United Kingdom,1,5,5,5,15,555,Champions
14056,2011-12-08 13:36:00,23,8152.71,4252,320,United Kingdom,2,5,5,5,15,555,Champions
16672,2011-12-07 16:29:00,20,8134.9400000000005,2832,22,United Kingdom,3,5,5,5,15,555,Champions
13854,2011-12-01 09:06:00,25,8109.5199999999995,2296,39,United Kingdom,9,5,5,5,15,555,Champions
18109,2011-12-08 11:36:00,26,8004.92,4230,119,United Kingdom,2,5,5,5,15,555,Champions
14796,2011-12-08 15:31:00,17,7975.49,5995,403,United Kingdom,2,5,5,5,15,555,Champions
15290,2011-12-05 11:39:00,18,7943.22,4501,93,United Kingdom,5,5,5,5,15,555,Champions
17811,2011-12-05 13:46:00,39,7761.82,4146,359,United Kingdom,5,5,5,5,15,555,Champions
15194,2011-12-06 15:10:00,15,7616.53,5703,209,United Kingdom,4,5,5,5,15,555,Champions
13263,2011-12-08 13:59:00,35,7436.93,4768,450,United Kingdom,2,5,5,5,15,555,Champions
12583,2011-12-07 08:07:00,15,7281.38,5060,115,France,3,5,5,5,15,555,Champions
18229,2011-11-28 09:48:00,20,7276.900000000001,2488,66,United Kingdom,12,5,5,5,15,555,Champions
16873,2011-12-05 12:05:00,6,7123.62,3840,179,United Kingdom,5,5,5,5,15,555,Champions
16923,2011-11-27 13:00:00,19,7069.08,3344,313,United Kingdom,13,5,5,5,15,555,Champions
13985,2011-12-05 17:06:00,15,7060.13,3445,108,United Kingdom,5,5,5,5,15,555,Champions
14961,2011-11-29 09:42:00,9,7044.68,3708,193,United Kingdom,11,5,5,5,15,555,Champions
12766,2011-12-06 08:46:00,7,6989.63,3646,205,Portugal,4,5,5,5,15,555,Champions
12989,2011-12-06 15:28:00,15,6924.110000000001,2943,41,United Kingdom,4,5,5,5,15,555,Champions
15601,2011-11-28 15:15:00,14,6776.56,4983,230,United Kingdom,12,5,5,5,15,555,Champions
18055,2011-12-02 14:25:00,10,6761.34,2452,223,United Kingdom,8,5,5,5,15,555,Champions
15023,2011-12-06 17:23:00,11,6720.41,2827,347,United Kingdom,4,5,5,5,15,555,Champions
13576,2011-11-29 15:34:00,18,6717.34,2646,78,United Kingdom,11,5,5,5,15,555,Champions
16746,2011-12-05 12:33:00,18,6680.11,4660,234,United Kingdom,5,5,5,5,15,555,Champions
16353,2011-12-06 12:23:00,23,6675.71,2006,51,United Kingdom,4,5,5,5,15,555,Champions
15144,2011-12-01 15:12:00,17,6580.44,3050,132,United Kingdom,9,5,5,5,15,555,Champions
18223,2011-12-05 09:11:00,14,6484.54,2948,116,United Kingdom,5,5,5,5,15,555,Champions
15694,2011-12-09 09:44:00,14,6479.4,1677,42,United Kingdom,1,5,5,5,15,555,Champions
13225,2011-12-06 13:29:00,7,6463.84,3416,23,United Kingdom,4,5,5,5,15,555,Champions
13102,2011-12-08 12:52:00,24,6424.09,4204,140,United Kingdom,2,5,5,5,15,555,Champions
13668,2011-12-07 12:11:00,21,6309.83,3722,284,United Kingdom,3,5,5,5,15,555,Champions
13709,2011-12-06 10:28:00,13,6307.650000000001,3508,244,United Kingdom,4,5,5,5,15,555,Champions
17315,2011-12-08 12:15:00,38,6281.23,3863,256,United Kingdom,2,5,5,5,15,555,Champions
14060,2011-12-05 12:29:00,19,6140.42,5386,86,United Kingdom,5,5,5,5,15,555,Champions
13418,2011-11-28 10:23:00,18,6127.43,3918,223,United Kingdom,12,5,5,5,15,555,Champions
14735,2011-12-06 12:09:00,32,6065.69,2264,99,United Kingdom,4,5,5,5,15,555,Champions
13534,2011-12-07 14:52:00,25,5870.08,2961,119,United Kingdom,3,5,5,5,15,555,Champions
14415,2011-12-08 14:38:00,13,5855.57,2996,283,United Kingdom,2,5,5,5,15,555,Champions
12720,2011-12-07 08:03:00,25,5781.73,4672,211,Germany,3,5,5,5,15,555,Champions
15218,2011-11-29 11:48:00,11,5756.89,3329,77,United Kingdom,11,5,5,5,15,555,Champions
17686,2011-12-02 15:39:00,7,5739.46,2478,205,United Kingdom,8,5,5,5,15,555,Champions
13468,2011-12-08 10:39:00,37,5704.97,2589,184,United Kingdom,2,5,5,5,15,555,Champions
14110,2011-12-06 12:26:00,12,5683.15,2445,94,United Kingdom,4,5,5,5,15,555,Champions
13004,2011-11-28 11:27:00,18,5655.91,4822,277,United Kingdom,12,5,5,5,15,555,Champions
17049,2011-12-07 10:48:00,9,5655.03,2673,201,United Kingdom,3,5,5,5,15,555,Champions
18118,2011-11-29 11:32:00,26,5625.08,2865,424,United Kingdom,11,5,5,5,15,555,Champions
17757,2011-12-08 15:31:00,30,5593.39,3318,275,United Kingdom,2,5,5,5,15,555,Champions
12839,2011-12-07 12:33:00,14,5591.42,3807,95,United Kingdom,3,5,5,5,15,555,Champions
14688,2011-12-02 12:26:00,21,5579.1,3584,148,United Kingdom,8,5,5,5,15,555,Champions
16161,2011-12-08 12:10:00,19,5533.67,2583,286,United Kingdom,2,5,5,5,15,555,Champions
18225,2011-12-06 13:27:00,12,5504.96,3242,150,United Kingdom,4,5,5,5,15,555,Champions
16265,2011-11-30 16:41:00,9,5447.0,2646,164,United Kingdom,10,5,5,5,15,555,Champions
18198,2011-12-05 14:49:00,17,5425.56,4074,81,United Kingdom,5,5,5,5,15,555,Champions
12490,2011-12-04 16:07:00,10,5417.93,3064,131,France,6,5,5,5,15,555,Champions
16701,2011-12-01 11:10:00,13,5398.3,6393,99,United Kingdom,9,5,5,5,15,555,Champions
13269,2011-12-08 14:53:00,15,5343.28,3513,177,United Kingdom,2,5,5,5,15,555,Champions
17730,2011-12-06 15:43:00,13,5298.4800000000005,3576,127,United Kingdom,4,5,5,5,15,555,Champions
12362,2011-12-06 15:40:00,10,5226.23,2229,201,Belgium,4,5,5,5,15,555,Champions
13756,2011-12-07 16:44:00,14,5189.52,3188,66,United Kingdom,3,5,5,5,15,555,Champions
16191,2011-12-07 11:26:00,13,5180.52,3351,65,United Kingdom,3,5,5,5,15,555,Champions
13599,2011-12-08 16:10:00,21,5149.92,3293,171,United Kingdom,2,5,5,5,15,555,Champions
17858,2011-12-04 11:56:00,12,5140.66,2694,101,United Kingdom,6,5,5,5,15,555,Champions
15903,2011-11-30 08:08:00,7,5126.76,2410,46,United Kingdom,10,5,5,5,15,555,Champions
15046,2011-11-30 15:50:00,15,5090.42,3372,147,United Kingdom,10,5,5,5,15,555,Champions
16700,2011-12-01 11:00:00,13,5076.55,4024,159,United Kingdom,9,5,5,5,15,555,Champions
17602,2011-12-07 13:53:00,6,5054.42,4116,335,United Kingdom,3,5,5,5,15,555,Champions
17426,2011-12-01 18:07:00,6,5037.26,3094,179,United Kingdom,9,5,5,5,15,555,Champions
14755,2011-11-30 11:24:00,11,5010.28,2219,128,United Kingdom,10,5,5,5,15,555,Champions
14562,2011-12-06 11:05:00,18,5006.77,1815,187,United Kingdom,4,5,5,5,15,555,Champions
12437,2011-12-08 11:35:00,18,4951.41,2922,118,France,2,5,5,5,15,555,Champions
15547,2011-12-02 12:52:00,14,4910.6,3999,441,United Kingdom,8,5,5,5,15,555,Champions
12664,2011-12-01 17:07:00,9,4881.88,1203,10,Finland,9,5,5,5,15,555,Champions
14292,2011-12-02 11:50:00,9,4871.93,1663,64,United Kingdom,8,5,5,5,15,555,Champions
13013,2011-12-08 15:01:00,13,4810.9400000000005,2224,155,United Kingdom,2,5,5,5,15,555,Champions
15298,2011-12-07 17:17:00,12,4799.9,3116,115,United Kingdom,3,5,5,5,15,555,Champions
15555,2011-11-27 16:19:00,16,4794.86,4427,401,United Kingdom,13,5,5,5,15,555,Champions
15187,2011-12-08 11:56:00,16,4777.18,1887,61,United Kingdom,2,5,5,5,15,555,Champions
17365,2011-11-27 12:13:00,8,4767.36,4749,278,United Kingdom,13,5,5,5,15,555,Champions
12955,2011-12-08 16:29:00,11,4757.16,3664,81,United Kingdom,2,5,5,5,15,555,Champions
14180,2011-11-29 10:56:00,25,4748.52,719,112,United Kingdom,11,5,5,5,15,555,Champions
15152,2011-11-30 12:32:00,13,4745.69,2704,196,United Kingdom,10,5,5,5,15,555,Champions
14135,2011-12-08 11:38:00,15,4690.31,3850,95,United Kingdom,2,5,5,5,15,555,Champions
14191,2011-12-08 09:23:00,13,4684.76,3662,145,United Kingdom,2,5,5,5,15,555,Champions
14189,2011-12-07 15:55:00,15,4654.08,3937,176,United Kingdom,3,5,5,5,15,555,Champions
14390,2011-11-29 13:49:00,9,4642.57,2133,135,United Kingdom,11,5,5,5,15,555,Champions
16931,2011-12-04 13:15:00,21,4554.87,3134,448,United Kingdom,6,5,5,5,15,555,Champions
17068,2011-11-27 13:14:00,21,4552.14,2164,116,United Kingdom,13,5,5,5,15,555,Champions
13267,2011-12-07 11:12:00,19,4521.49,1969,88,United Kingdom,3,5,5,5,15,555,Champions
12524,2011-11-30 15:31:00,8,4485.72,3699,113,Germany,10,5,5,5,15,555,Champions
12627,2011-11-29 12:07:00,7,4478.53,2752,162,Germany,11,5,5,5,15,555,Champions
17364,2011-12-09 09:00:00,11,4462.68,2692,288,United Kingdom,1,5,5,5,15,555,Champions
13069,2011-12-09 08:39:00,24,4431.44,5873,281,United Kingdom,1,5,5,5,15,555,Champions
14085,2011-12-07 13:46:00,18,4421.29,3177,272,United Kingdom,3,5,5,5,15,555,Champions
16626,2011-12-09 11:56:00,17,4413.1,2690,86,United Kingdom,1,5,5,5,15,555,Champions
14534,2011-12-07 12:19:00,18,4397.3,2027,331,United Kingdom,3,5,5,5,15,555,Champions
17567,2011-12-02 15:48:00,8,4331.48,2632,110,United Kingdom,8,5,5,5,15,555,Champions
12347,2011-12-07 15:52:00,7,4310.0,2458,103,Iceland,3,5,5,5,15,555,Champions
17937,2011-12-01 11:45:00,7,4301.22,1754,19,United Kingdom,9,5,5,5,15,555,Champions
14422,2011-12-09 11:26:00,6,4263.64,2906,189,United Kingdom,1,5,5,5,15,555,Champions
17419,2011-11-28 13:47:00,12,4226.57,1876,155,United Kingdom,12,5,5,5,15,555,Champions
15804,2011-12-09 12:31:00,13,4206.39,2565,170,United Kingdom,1,5,5,5,15,555,Champions
12747,2011-12-07 14:34:00,11,4196.01,1275,42,United Kingdom,3,5,5,5,15,555,Champions
15570,2011-12-02 14:47:00,12,4148.82,2063,231,United Kingdom,8,5,5,5,15,555,Champions
12569,2011-12-07 16:24:00,32,4124.69,1801,92,Germany,3,5,5,5,15,555,Champions
17920,2011-12-05 14:29:00,17,4119.5,2473,407,United Kingdom,5,5,5,5,15,555,Champions
16592,2011-12-05 13:49:00,16,4113.68,2927,142,United Kingdom,5,5,5,5,15,555,Champions
16401,2011-12-08 18:15:00,12,4098.32,3882,66,United Kingdom,2,5,5,5,15,555,Champions
18041,2011-11-28 11:39:00,21,4097.37,3758,285,United Kingdom,12,5,5,5,15,555,Champions
14092,2011-12-02 12:13:00,14,4076.91,2066,117,United Kingdom,8,5,5,5,15,555,Champions
14401,2011-12-05 13:30:00,13,4051.48,4507,113,United Kingdom,5,5,5,5,15,555,Champions
16549,2011-11-29 15:06:00,10,4034.9,2294,445,United Kingdom,11,5,5,5,15,555,Champions
15514,2011-11-27 14:40:00,11,4023.7200000000003,2098,96,United Kingdom,13,5,5,5,15,555,Champions
12957,2011-11-30 09:53:00,8,4017.54,2549,208,United Kingdom,10,5,5,5,15,555,Champions
12841,2011-12-05 11:13:00,25,3991.58,2720,229,United Kingdom,5,5,5,5,15,555,Champions
17001,2011-12-09 09:38:00,11,3989.57,2164,75,United Kingdom,1,5,5,5,15,555,Champions
12727,2011-11-29 11:46:00,7,3980.7,2098,109,France,11,5,5,5,15,555,Champions
14547,2011-12-06 11:06:00,8,3974.75,2639,198,United Kingdom,4,5,5,5,15,555,Champions
14299,2011-12-01 16:05:00,9,3965.62,2149,94,United Kingdom,9,5,5,5,15,555,Champions
17611,2011-12-02 13:29:00,15,3961.12,2550,440,United Kingdom,8,5,5,5,15,555,Champions
13183,2011-12-02 10:30:00,9,3957.78,2208,51,United Kingdom,8,5,5,5,15,555,Champions
17769,2011-11-27 11:18:00,10,3957.43,1850,200,United Kingdom,13,5,5,5,15,555,Champions
17651,2011-11-28 10:29:00,10,3945.0,3112,149,United Kingdom,12,5,5,5,15,555,Champions
14739,2011-12-05 16:54:00,7,3902.28,3820,47,United Kingdom,5,5,5,5,15,555,Champions
13999,2011-11-29 13:40:00,12,3901.81,2243,102,United Kingdom,11,5,5,5,15,555,Champions
14291,2011-12-08 10:26:00,11,3883.25,2749,145,United Kingdom,2,5,5,5,15,555,Champions
12662,2011-12-09 11:59:00,11,3849.78,2058,129,Germany,1,5,5,5,15,555,Champions
13266,2011-11-28 14:39:00,12,3834.2599999999998,4428,82,United Kingdom,12,5,5,5,15,555,Champions
17091,2011-12-07 10:43:00,9,3827.76,1746,119,United Kingdom,3,5,5,5,15,555,Champions
15867,2011-12-04 13:32:00,15,3810.14,2052,302,United Kingdom,6,5,5,5,15,555,Champions
13435,2011-12-04 14:45:00,7,3809.8900000000003,2129,68,United Kingdom,6,5,5,5,15,555,Champions
16145,2011-12-01 10:33:00,11,3799.4900000000002,3123,134,United Kingdom,9,5,5,5,15,555,Champions
16168,2011-11-29 12:45:00,27,3787.6,1892,57,United Kingdom,11,5,5,5,15,555,Champions
12562,2011-12-01 17:20:00,7,3781.7400000000002,1779,99,France,9,5,5,5,15,555,Champions
17173,2011-12-04 14:40:00,8,3766.6,1122,36,United Kingdom,6,5,5,5,15,555,Champions
17238,2011-12-07 11:35:00,17,3719.1,1807,297,United Kingdom,3,5,5,5,15,555,Champions
14282,2011-12-06 17:04:00,15,3701.44,2656,70,United Kingdom,4,5,5,5,15,555,Champions
12553,2011-12-01 16:38:00,10,3692.28,1965,95,France,9,5,5,5,15,555,Champions
16904,2011-12-05 13:10:00,16,3653.75,1984,387,United Kingdom,5,5,5,5,15,555,Champions
12417,2011-12-06 14:52:00,9,3649.1,1552,158,Belgium,4,5,5,5,15,555,Champions
13426,2011-12-09 08:59:00,10,3641.32,2245,103,United Kingdom,1,5,5,5,15,555,Champions
17528,2011-12-08 13:27:00,8,3628.5,2138,183,United Kingdom,2,5,5,5,15,555,Champions
16712,2011-11-30 13:48:00,11,3611.31,1730,259,United Kingdom,10,5,5,5,15,555,Champions
13137,2011-11-29 12:09:00,8,3603.29,2204,345,United Kingdom,11,5,5,5,15,555,Champions
14132,2011-12-07 13:35:00,11,3586.0299999999997,3368,100,United Kingdom,3,5,5,5,15,555,Champions
16242,2011-12-01 15:12:00,7,3579.86,1969,184,United Kingdom,9,5,5,5,15,555,Champions
17576,2011-12-01 17:56:00,19,3564.83,1967,245,United Kingdom,9,5,5,5,15,555,Champions
17491,2011-12-08 16:18:00,10,3558.87,2013,72,United Kingdom,2,5,5,5,15,555,Champions
15544,2011-11-30 16:43:00,9,3546.71,3109,122,United Kingdom,10,5,5,5,15,555,Champions
14503,2011-12-06 13:30:00,6,3543.26,2004,113,United Kingdom,4,5,5,5,15,555,Champions
13953,2011-12-02 16:04:00,7,3515.68,2724,8,United Kingdom,8,5,5,5,15,555,Champions
14907,2011-12-06 14:14:00,7,3501.1,1691,125,United Kingdom,4,5,5,5,15,555,Champions
16458,2011-12-07 09:34:00,18,3482.7400000000002,2154,52,United Kingdom,3,5,5,5,15,555,Champions
14395,2011-12-07 14:34:00,9,3479.91,1689,181,United Kingdom,3,5,5,5,15,555,Champions
13014,2011-11-29 12:27:00,10,3466.2799999999997,905,67,United Kingdom,11,5,5,5,15,555,Champions
16360,2011-12-05 12:16:00,6,3450.41,2110,365,United Kingdom,5,5,5,5,15,555,Champions
13536,2011-12-08 16:38:00,7,3444.39,2126,91,United Kingdom,2,5,5,5,15,555,Champions
13198,2011-11-29 15:17:00,6,3401.2400000000002,2648,199,United Kingdom,11,5,5,5,15,555,Champions
16011,2011-12-01 16:31:00,16,3352.96,2035,99,United Kingdom,9,5,5,5,15,555,Champions
16818,2011-11-29 10:41:00,11,3349.57,2164,172,United Kingdom,11,5,5,5,15,555,Champions
17183,2011-12-02 10:07:00,6,3347.31,1296,42,United Kingdom,8,5,5,5,15,555,Champions
14702,2011-12-08 19:29:00,17,3251.79,1439,196,United Kingdom,2,5,5,5,15,555,Champions
15443,2011-12-08 10:40:00,7,3213.59,1639,237,United Kingdom,2,5,5,5,15,555,Champions
14388,2011-11-29 13:32:00,8,3212.84,1941,124,United Kingdom,11,5,5,5,15,555,Champions
13758,2011-11-28 11:11:00,7,3190.55,1844,104,United Kingdom,12,5,5,5,15,555,Champions
15861,2011-11-27 15:59:00,8,3146.92,2528,339,United Kingdom,13,5,5,5,15,555,Champions
17231,2011-11-27 15:18:00,10,3124.72,1724,292,United Kingdom,13,5,5,5,15,555,Champions
13685,2011-12-07 11:41:00,7,3119.44,5056,29,United Kingdom,3,5,5,5,15,555,Champions
16678,2011-12-07 12:17:00,12,3109.99,2397,92,United Kingdom,3,5,5,5,15,555,Champions
16156,2011-12-01 12:42:00,9,3092.04,1273,108,United Kingdom,9,5,5,5,15,555,Champions
18272,2011-12-07 12:43:00,6,3078.58,2050,99,United Kingdom,3,5,5,5,15,555,Champions
16393,2011-12-07 12:51:00,13,3040.96,1573,120,United Kingdom,3,5,5,5,15,555,Champions
16326,2011-12-04 10:11:00,14,3039.2200000000003,682,158,United Kingdom,6,5,5,5,15,555,Champions
16905,2011-12-04 14:01:00,7,3037.6,1381,117,United Kingdom,6,5,5,5,15,555,Champions
12598,2011-11-30 12:18:00,8,3023.08,1964,84,France,10,5,5,5,15,555,Champions
14456,2011-12-04 13:59:00,9,3017.28,2885,580,United Kingdom,6,5,5,5,15,555,Champions
15687,2011-12-01 08:33:00,9,2993.1,1310,119,United Kingdom,9,5,5,5,15,555,Champions
14032,2011-12-07 15:23:00,11,2975.59,2032,53,United Kingdom,3,5,5,5,15,555,Champions
15854,2011-12-05 13:39:00,12,2969.12,926,105,United Kingdom,5,5,5,5,15,555,Champions
17924,2011-11-28 09:11:00,7,2962.5,1160,26,United Kingdom,12,5,5,5,15,555,Champions
14868,2011-12-06 14:49:00,8,2953.59,1405,96,United Kingdom,4,5,5,5,15,555,Champions
17644,2011-12-08 13:43:00,11,2895.64,1793,102,United Kingdom,2,5,5,5,15,555,Champions
18144,2011-12-02 12:46:00,12,2888.75,1343,27,United Kingdom,8,5,5,5,15,555,Champions
15628,2011-12-05 10:24:00,9,2870.2400000000002,1894,85,United Kingdom,5,5,5,5,15,555,Champions
14711,2011-11-29 14:58:00,11,2839.62,966,221,United Kingdom,11,5,5,5,15,555,Champions
