stock_code,description,revenue,units_sold,orders,customers_with_id,sales_rows,revenue_share_pct,average_unit_price
21733,RED HANGING HEART T-LIGHT HOLDER,23199.24,7872,741,385,753,0.21799472329568503,2.9470579268292685
21929,JUMBO BAG PINK VINTAGE PAISLEY,23179.06,11006,865,308,872,0.217805099259893,2.106038524441214
82482,WOODEN PICTURE FRAME WHITE FINISH,23057.06,8986,1100,410,1106,0.21665871014360846,2.565886935232584
20713,JUMBO BAG OWLS,23001.06,11429,657,207,662,0.2161324987459696,2.0125172806019775
21623,VINTAGE UNION JACK MEMOBOARD,22980.239999999998,3269,221,139,221,0.21593686086563316,7.029746099724686
22139,RETROSPOT TEA SET CERAMIC 11 PC,22868.260000000002,4518,962,488,964,0.21488462600299757,5.061589198760514
22090,PAPER BUNTING RETROSPOT,22785.06,7562,798,325,802,0.2141028262122199,3.0130997090716742
22697,GREEN REGENCY TEACUP AND SAUCER,22755.5,7278,1013,387,1022,0.2138250617673234,3.126614454520473
85066,CREAM SWEETHEART MINI CHEST,22594.2,1784,519,289,524,0.2123093850094816,12.664910313901347
22383,LUNCH BAG SUKI  DESIGN,22486.34,12518,1284,434,1306,0.21129586427110084,1.7963204984821857
20727,LUNCH BAG  BLACK SKULL.,22346.96,12195,1273,458,1301,0.20998616168890621,1.8324690446904468
15056N,EDWARDIAN PARASOL NATURAL,22152.690000000002,3950,456,184,458,0.20816067797070456,5.608275949367089
48194,DOORMAT HEARTS,22114.42,3416,592,286,593,0.20780106886021102,6.473776346604215
20712,JUMBO BAG WOODLAND ANIMALS,22092.42,9773,863,248,869,0.20759434295399576,2.260556635628773
84029E,RED WOOLLY HOTTIE WHITE HEART.,22025.73,4734,429,228,438,0.20696768155920053,4.652667934093789
23202,JUMBO BAG VINTAGE LEAF,21810.43,10941,879,377,886,0.2049445866679213,1.993458550406727
20724,RED RETROSPOT CHARLOTTE BAG,21773.39,17761,1032,335,1044,0.2045965354149116,1.225910140194809
20728,LUNCH BAG CARS BLUE,21699.48,11786,1150,479,1162,0.2039020303363494,1.8411233667062616
22630,DOLLY GIRL LUNCH BOX,21609.789999999997,11780,850,287,858,0.2030592464032382,1.8344473684210525
21523,DOORMAT FANCY FONT HOME SWEET HOME,21593.74,3245,502,203,502,0.20290843045802212,6.6544653312788915
23209,LUNCH BAG DOILEY PATTERN,21418.82,13170,1098,469,1114,0.20126477157096884,1.626334092634776
21843,RED RETROSPOT CAKE STAND,21354.3,2012,539,260,541,0.2006585008678321,10.613469184890656
21212,PACK OF 72 RETROSPOT CAKE CASES,21246.45,36396,1320,635,1352,0.1996450740957724,0.5837578305308276
21928,JUMBO BAG SCANDINAVIAN PAISLEY,21144.41,10468,806,264,809,0.19868624175621766,2.019909247229652
21166,COOK WITH WINE METAL SIGN,20874.440000000002,10324,723,287,728,0.19614943298799353,2.0219333591631155
23206,LUNCH BAG APPLE DESIGN,20852.579999999998,12147,1036,401,1053,0.19594402261027236,1.7166856013830574
22659,LUNCH BOX I LOVE LONDON,20781.649999999998,11504,707,213,722,0.19527751949537017,1.8064716620305978
22728,ALARM CLOCK BAKELIKE PINK,20672.15,5356,783,291,791,0.1942485882803443,3.8596247199402542
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,20650.66,6748,316,155,319,0.1940466546565004,3.060263781861292
21479,WHITE SKULL HOT WATER BOTTLE,20582.2,3915,499,252,510,0.19340336122288695,5.257266922094509
84997D,PINK 3 PIECE POLKADOT CUTLERY SET,19728.2,5103,473,248,476,0.185378637408895,3.866000391926318
82494L,WOODEN FRAME ANTIQUE WHITE,19599.49,6735,910,392,917,0.18416919689121478,2.9100950259836678
22501,PICNIC BASKET WICKER LARGE,19302.26,1602,445,187,445,0.1813762359319257,12.048851435705368
22328,ROUND SNACK BOXES SET OF 4 FRUITS,19094.97,6835,581,227,585,0.17942840806377303,2.793704462326262
22467,GUMBALL COAT RACK,18798.670000000002,7926,681,262,689,0.17664418597233766,2.3717726469846077
22969,HOMEMADE JAM SCENTED CANDLES,18771.149999999998,12520,646,429,646,0.17638559065692655,1.4992931309904152
15036,ASSORTED COLOURS SILK FAN,18569.84,23826,518,194,519,0.17449395464873604,0.7793939393939394
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18357.75,6361,880,356,893,0.17250102294650002,2.885984908033328
82486,WOOD S/3 CABINET ANT WHITE FINISH,18343.92,2136,605,235,609,0.17237106752454742,8.587977528089887
20726,LUNCH BAG WOODLAND,18283.78,9909,1017,372,1030,0.17180595407001173,1.8451690382480572
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,18056.280000000002,10241,262,160,263,0.16966822026710407,1.763136412459721
22382,LUNCH BAG SPACEBOY DESIGN,18031.31,10427,1157,490,1164,0.16943358636354974,1.7292903040184138
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17927.45,16244,305,167,305,0.16845765215357175,1.103635188377247
22835,HOT WATER BOTTLE I AM SO POORLY,17892.96,3441,657,316,662,0.16813356231241883,5.199930252833479
22865,HAND WARMER OWL DESIGN,17786.13,8439,654,375,666,0.1671297201051018,2.107611091361536
21485,RETROSPOT HEART HOT WATER BOTTLE,17663.98,3524,623,371,640,0.16598192149400212,5.012480136208853
22698,PINK REGENCY TEACUP AND SAUCER,17445.56,5788,765,319,768,0.16392950911056872,3.0140912232204564
22384,LUNCH BAG PINK POLKADOT,17388.99,10487,1090,444,1101,0.16339794163263252,1.6581472299036903
22077,6 RIBBONS RUSTIC CHARM,17186.62,9172,955,413,970,0.16149634519441522,1.8738137810728301
22385,JUMBO BAG SPACEBOY DESIGN,17071.59,8666,686,247,692,0.1604154506038725,1.969950380798523
23240,SET OF 4 KNICK KNACK TINS DOILEY,17000.170000000002,4177,536,323,546,0.15974434313924102,4.069947330620063
82583,HOT BATHS METAL SIGN,16946.260000000002,7258,609,206,621,0.15923777070269265,2.3348387985670986
22492,MINI PAINT SET VINTAGE,16937.82,26633,380,213,380,0.15915846312776277,0.6359711635940375
21754,HOME BUILDING BLOCK WORD,16923.47,2759,777,360,781,0.15902362145711785,6.133914461761508
20719,WOODLAND CHARLOTTE BAG,16744.45,13290,833,238,840,0.15734143637845174,1.2599285176824682
22993,SET OF 4 PANTRY JELLY MOULDS,16478.48,12649,1073,431,1090,0.15484221413863036,1.302749624476243
84978,HANGING HEART JAR T-LIGHT HOLDER,16453.78,12493,728,304,733,0.15461011732574323,1.317039942367726
22624,IVORY KITCHEN SCALES,16378.710000000001,1883,711,376,711,0.15390471215394422,8.698199681359533
84078A,SET/4 WHITE RETRO STORAGE CUBES,16363.300000000001,415,155,79,155,0.15375991005327252,39.42963855421687
23301,GARDENERS KNEELING PAD KEEP CALM,16327.349999999999,8807,913,405,920,0.1534221011292526,1.8539059838764618
21232,STRAWBERRY CERAMIC TRINKET BOX,16248.800000000001,11842,831,312,836,0.15268399567774316,1.3721330856274279
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16148.04,3319,459,211,466,0.1517371910272773,4.865332931605906
84997B,RED 3 PIECE RETROSPOT CUTLERY SET,16045.970000000001,4214,370,202,374,0.15077807678875957,3.8077764594209778
85152,HAND OVER THE CHOCOLATE   SIGN,15928.730000000001,8246,677,270,679,0.1496764156412743,1.9316917293233085
15056BL,EDWARDIAN PARASOL BLACK,15828.84,2844,321,142,321,0.14873778606073607,5.565696202531646
23313,VINTAGE CHRISTMAS BUNTING,15798.66,2990,401,254,408,0.14845419570393714,5.283832775919732
22379,RECYCLING BAG RETROSPOT,15607.59,6896,748,187,750,0.1466587812084577,2.2632816125290023
82483,WOOD 2 DRAWER CABINET WHITE FINISH,15123.92,2386,543,241,546,0.14211391216031544,6.338608549874267
22084,PAPER CHAIN KIT EMPIRE,15099.37,5181,436,277,443,0.14188322484224342,2.9143736730360934
22900,SET 2 TEA TOWELS I LOVE LONDON,14938.43,4907,533,194,543,0.14037093087195784,3.044310169146118
84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,14497.03,3783,335,202,335,0.1362232574627119,3.832151731430082
22752,SET 7 BABUSHKA NESTING BOXES,14427.970000000001,1787,380,188,382,0.13557432604983802,8.073850027979855
22847,BREAD BIN DINER STYLE IVORY,14389.34,905,376,214,376,0.13521133415178824,15.89982320441989
22866,HAND WARMER SCOTTY DOG DESIGN,14366.52,6611,548,329,562,0.13499690300725042,2.1731235819089396
48184,DOORMAT ENGLISH ROSE,14300.15,2035,407,227,407,0.1343732485347274,7.027100737100737
22507,MEMO BOARD RETROSPOT  DESIGN,14193.35,2960,459,230,459,0.1333696882263734,4.795050675675676
23200,JUMBO BAG PEARS,14188.960000000001,7067,595,262,598,0.13332843701145136,2.0077769916513373
22625,RED KITCHEN SCALES,14082.2,1620,546,292,546,0.13232525256838135,8.692716049382717
22867,HAND WARMER BIRD DESIGN,14061.890000000001,6433,554,333,561,0.13213440697041626,2.1858992693921966
22083,PAPER CHAIN KIT RETROSPOT,14051.640000000001,4616,610,294,611,0.13203809149138415,3.0441161178509533
21930,JUMBO STORAGE BAG SKULLS,14006.2,6438,705,220,714,0.13161110852872865,2.1755514134824483
23343,JUMBO BAG VINTAGE CHRISTMAS,13972.710000000001,6078,476,286,486,0.13129641531967645,2.298899308983218
22622,BOX OF VINTAGE ALPHABET BLOCKS,13931.31,1342,267,174,267,0.13090739475070773,10.381005961251862
20971,PINK BLUE FELT CRAFT TRINKET BOX,13828.1,10993,522,277,526,0.1299375683515952,1.2579004821249886
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13814.009999999998,54951,535,307,536,0.12980516980529644,0.25138778184200467
22941,CHRISTMAS LIGHTS 10 REINDEER,13795.92,1670,311,205,311,0.1296351847305949,8.26102994011976
AMAZONFEE,AMAZON FEE,13761.09,2,2,0,2,0.12930790003452775,6880.545
23077,DOUGHNUT LIP GLOSS,13695.77,10395,344,217,344,0.1286941120257105,1.3175343915343916
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,13611.81,1794,382,172,382,0.12790517079453628,7.587408026755853
22551,PLASTERS IN TIN SPACEBOY,13602.109999999999,8074,673,339,681,0.12781402346315954,1.6846804557839978
21524,DOORMAT SPOTTY HOME SWEET HOME,13572.06,1752,480,251,481,0.12753165466853372,7.746609589041095
23356,LOVE HOT WATER BOTTLE,13334.320000000002,2359,476,316,486,0.12529769935291493,5.652530733361594
22554,PLASTERS IN TIN WOODLAND ANIMALS,13328.269999999999,7803,704,351,714,0.12524084972870572,1.7080956042547737
22558,CLOTHES PEGS RETROSPOT PACK 24,13325.869999999999,8676,772,363,775,0.12521829781166408,1.5359462886122637
23207,LUNCH BAG ALPHABET DESIGN,13325.55,7830,740,377,756,0.12521529088939184,1.7018582375478926
23108,SET OF 10 LED DOLLY LIGHTS,13290.519999999999,2219,372,271,373,0.12488612686690455,5.989418657052726
23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,13269.49,2841,405,195,409,0.124688515693827,4.670711017247448
22776,SWEETHEART CAKESTAND 3 TIER,13078.779999999999,1244,536,327,537,0.12289648398590379,10.513488745980707
82600,NO SINGING METAL SIGN,12833.18,6013,545,221,549,0.12058867114197357,2.134239148511558
22499,WOODEN UNION JACK BUNTING,12792.25,2091,407,217,410,0.1202040669900922,6.117766618842659
22113,GREY HEART HOT WATER BOTTLE,12763.08,3220,561,337,582,0.11992996723171497,3.9636894409937886
22427,ENAMEL FLOWER JUG CREAM,12647.26,2106,506,311,509,0.11884164930181268,6.005346628679962
20750,RED RETROSPOT MINI CASES,12634.98,1747,385,235,386,0.11872625865961617,7.232386949055524
20749,ASSORTED COLOUR MINI CASES,12550.57,1762,383,239,385,0.11793308894399666,7.122911464245176
20723,STRAWBERRY CHARLOTTE BAG,12548.15,9793,722,230,726,0.11791034909431299,1.2813387113244155
22607,WOODEN ROUNDERS GARDEN SET,12531.57,1327,358,224,359,0.11775455293408349,9.44353428786737
21790,VINTAGE SNAP CARDS,12510.009999999998,14521,926,449,935,0.11755196154599253,0.8615116038840299
22188,BLACK HEART CARD HOLDER,12483.220000000001,4870,189,123,189,0.11730022577201499,2.5632895277207393
21755,LOVE BUILDING BLOCK WORD,12435.86,2011,629,337,634,0.11685520127572616,6.183918448533069
22568,FELTCRAFT CUSHION OWL,12413.89,3373,470,244,473,0.11664875726847392,3.6803705899792467
22424,ENAMEL BREAD BIN CREAM,12358.33,873,454,189,454,0.1161266803889594,14.156162657502863
22149,FELTCRAFT 6 FLOWER FRIENDS,12357.08,6070,547,337,553,0.11611493459883354,2.0357627677100494
23174,REGENCY SUGAR BOWL GREEN,12342.43,3055,322,190,324,0.11597727393855839,4.040075286415712
21977,PACK OF 60 PINK PAISLEY CAKE CASES,12226.32,24820,869,410,880,0.1148862309853469,0.49259951651893635
48188,DOORMAT WELCOME PUPPIES,12107.02,2064,287,163,287,0.1137652127757342,5.865804263565892
47590B,PINK HAPPY BIRTHDAY BUNTING,12050.12,2323,393,238,394,0.11323054440920477,5.187309513560052
22273,FELTCRAFT DOLL MOLLY,12001.59,4509,331,211,333,0.11277452585335813,2.6616966067864274
22191,IVORY DINER WALL CLOCK,11911.65,1445,415,239,418,0.11192939276222177,8.243356401384084
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,11905.95,3034,477,186,479,0.11187583195924784,3.9241760052735666
22087,PAPER BUNTING WHITE LACE,11872.58,4082,326,155,331,0.1115622663460477,2.9085203331700145
22193,RED DINER WALL CLOCK,11857.07,1400,460,206,460,0.11141652458216596,8.469335714285714
22158,3 HEARTS HANGING DECORATION RUSTIC,11797.380000000001,3413,303,196,307,0.11085563961207559,3.456601230588925
23300,GARDENERS KNEELING PAD CUP OF TEA,11785.99,6809,758,351,766,0.11074861197244867,1.7309428697312381
21936,RED RETROSPOT PICNIC BAG,11665.19,3985,531,223,532,0.10961349881468493,2.9272747804266
23581,JUMBO BAG PAISLEY PARK,11581.83,5020,338,230,345,0.10883019556277115,2.3071374501992032
22692,DOORMAT WELCOME TO OUR HOME,11539.06,1522,443,231,443,0.10842830160782452,7.5815111695137976
21217,RED RETROSPOT ROUND CAKE TINS,11522.439999999999,1088,344,167,344,0.10827212958231097,10.59047794117647
22730,ALARM CLOCK BAKELIKE IVORY,11453.4,2885,570,241,572,0.10762338610207914,3.9699826689774698
21481,FAWN BLUE HOT WATER BOTTLE,11443.87,3307,490,253,500,0.10753383619815954,3.460498941638948
22356,CHARLOTTE BAG PINK POLKADOT,11417.74,9716,742,220,755,0.10728830220136842,1.1751482091395635
21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",11382.81,2128,430,150,434,0.10696007784209122,5.34906484962406
22041,"RECORD FRAME 7"" SINGLE SIZE",11354.56,4374,361,73,365,0.10669462298524664,2.5959213534522174
21080,SET/20 RED RETROSPOT PAPER NAPKINS,11312.56,13202,986,427,1005,0.1062999644370175,0.856882290562036
21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,11300.02,975,290,179,291,0.10618213067047483,11.589764102564104
22605,WOODEN CROQUET GARDEN SET,11276.21,782,299,181,300,0.1059583968601573,14.41970588235294
47566B,TEA TIME PARTY BUNTING,11275.27,2379,365,192,366,0.10594956402598266,4.739499789827659
22570,FELTCRAFT CUSHION RABBIT,11204.97,3086,386,202,389,0.10528898078930393,3.630904082955282
23170,REGENCY TEA PLATE ROSES,11097.249999999998,6857,445,224,445,0.10427677557941725,1.6183826746390546
22413,METAL SIGN TAKE IT OR LEAVE IT,11095.94,3774,412,228,416,0.10426446599136535,2.9401006889242183
B,Adjust bad debt,11062.06,1,1,0,1,0.10394610809579387,11062.06
22662,LUNCH BAG DOLLY GIRL DESIGN,11060.88,6706,682,310,690,0.10393502006991505,1.649400536832687
20711,JUMBO BAG TOYS,11014.62,5007,522,152,524,0.103500331868937,2.199844218094668
85014B,RED RETROSPOT UMBRELLA,10952.2,1910,350,210,350,0.10291379409321172,5.734136125654451
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,10910.61,1359,261,170,263,0.1025229881641439,8.028410596026491
71459,HANGING JAM JAR T-LIGHT HOLDER,10858.89,13605,440,226,441,0.10203699435189603,0.798154355016538
22988,SOLDIERS EGG CUP,10858.31,9073,418,197,422,0.10203154430527762,1.196771740328447
22617,BAKING SET SPACEBOY DESIGN,10745.050000000001,2209,464,296,467,0.10096728175355313,4.864214576731554
22846,BREAD BIN DINER STYLE RED,10676.619999999999,665,278,158,278,0.10032427021890268,16.05506766917293
22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,10610.04,3261,422,278,432,0.09969864245363855,3.253615455381785
21891,TRADITIONAL WOODEN SKIPPING ROPE,10504.85,8130,425,264,432,0.09871021072296665,1.292109471094711
21791,VINTAGE HEADS AND TAILS CARD GAME,10504.4,7864,607,342,611,0.09870598223852131,1.3357578840284843
47590A,BLUE HAPPY BIRTHDAY BUNTING,10491.75,1990,390,228,390,0.09858711484244756,5.272236180904523
84755,COLOUR GLASS T-LIGHT HOLDER HANGING,10487.050000000001,16401,621,318,622,0.0985429506715743,0.6394152795561246
23208,LUNCH BAG VINTAGE LEAF DESIGN,10441.91,6308,668,305,677,0.09811878669854901,1.6553440076093848
22992,REVOLVER WOODEN RULER,10373.99,5233,348,217,356,0.09748056744626993,1.9824173514236576
22169,FAMILY ALBUM WHITE PICTURE FRAME,10345.76,1197,372,165,372,0.09721530052206737,8.643074352548037
21914,BLUE HARMONICA IN BOX,10339.81,7876,603,306,610,0.09715939056106822,1.3128250380904012
84947,ANTIQUE SILVER TEA GLASS ENGRAVED,10229.77,8652,347,177,352,0.09612538516470796,1.1823589921405455
23582,VINTAGE DOILY JUMBO BAG RED,10206.41,4802,259,186,262,0.09590587983883576,2.1254498125780925
22970,LONDON BUS COFFEE MUG,10140.6,4334,317,180,319,0.09528748748028915,2.339778495616059
21218,RED SPOTTY BISCUIT TIN,10116.49,2433,394,130,398,0.09506093468034144,4.158031237155774
22569,FELTCRAFT CUSHION BUTTERFLY,10110.83,2759,348,192,350,0.09500774974265151,3.664671982602392
22556,PLASTERS IN TIN CIRCUS PARADE,10061.859999999999,6113,571,305,577,0.09454759666868055,1.6459774251594959
22621,TRADITIONAL KNITTING NANCY,10053.65,6148,609,366,619,0.09447045031913387,1.6352716330513988
23171,REGENCY TEA PLATE GREEN,10051.99,6247,381,195,383,0.09445485190984673,1.609090763566512
22633,HAND WARMER UNION JACK,10023.720000000001,4851,479,300,493,0.09418920912036013,2.066320346320347
20679,EDWARDIAN PARASOL RED,10021.42,1710,326,141,327,0.09416759686652854,5.860479532163743
48173C,DOORMAT BLACK FLOCK,10000.66,1799,188,105,188,0.09397252278411815,5.559010561423013
22690,DOORMAT HOME SWEET HOME BLUE,9943.7,1619,285,198,286,0.09343729061966267,6.1418777022853615
23076,ICE CREAM SUNDAE LIP GLOSS,9935.76,8076,277,202,277,0.09336268136078316,1.2302823179791977
84997A,GREEN 3 PIECE POLKADOT CUTLERY SET,9933.880000000001,2573,260,143,260,0.09334501569243386,3.8608161678973962
22619,SET OF 6 SOLDIER SKITTLES,9895.04,2480,443,250,446,0.09298005050164294,3.989935483870968
22654,DELUXE SEWING KIT,9893.0,1411,328,157,330,0.09296088137215752,7.0113394755492555
22791,T-LIGHT GLASS FLUTED ANTIQUE,9873.880000000001,7955,345,184,346,0.09278121776639227,1.2412168447517287
22555,PLASTERS IN TIN STRONGMAN,9841.829999999998,6010,515,294,524,0.09248005570756503,1.6375757071547419
21314,SMALL GLASS HEART TRINKET POT,9798.980000000001,4246,541,215,542,0.09207741002205036,2.3078144135657093
22838,3 TIER CAKE TIN RED AND CREAM,9765.11,689,168,115,168,0.09175914609279988,14.172873730043543
22766,PHOTO FRAME CORNICE,9755.09,3267,504,278,508,0.09166499183915093,2.9859473523109887
22561,WOODEN SCHOOL COLOURING SET,9741.57,5883,433,288,442,0.09153794937314955,1.6558847526772054
21559,STRAWBERRY LUNCH BOX WITH CUTLERY,9735.38,3933,573,233,581,0.09147978422044625,2.475306381896771
22144,CHRISTMAS CRAFT LITTLE FRIENDS,9662.28,4073,544,319,553,0.0907928904138856,2.3722759636631476
22844,VINTAGE CREAM DOG FOOD CONTAINER,9661.32,1003,416,176,418,0.09078386964706892,9.632422731804587
23175,REGENCY MILK JUG PINK,9587.15,3160,329,206,331,0.09008692144416051,3.033908227848101
22560,TRADITIONAL MODELLING CLAY,9572.32,8144,389,229,389,0.08994756939010723,1.1753831041257368
22978,PANTRY ROLLING PIN,9564.98,2464,238,153,238,0.08987859811048814,3.8818912337662335
22456,NATURAL SLATE CHALKBOARD LARGE,9534.67,1727,476,220,477,0.08959378619151614,5.520943833236827
